name,thumb,cs,en
3 Water Surfaces.jpg,3 Water Surfaces.jpg,3 vodní plochy,3 Water Surfaces
Connected.jpg,Connected.jpg,Propojeno,Connected
Ice Town.jpg,Ice Town.jpg,Ledové město,Ice Town
Jumping Wall.jpg,Jumping Wall.jpg,Skákavá stěna,Jumping Wall
Spoluprace.png,Spoluprace.png,Spolupráce,Cooperation
ZakryteDiry.png,ZakryteDiry.png,Zakryté díry,Covered Traps
Zamek.png,Zamek.png,Zámek,Lock
ZemeKrtkuIntro.png,ZemeKrtkuIntro.png,Intro,Intro
Minisokoban.jpg,Minisokoban.jpg,Minisokoban,Minisokoban
Nitro.jpg,Nitro.jpg,Nitrak,Nitro
Photocell and Ice.jpg,Photocell and Ice.jpg,Fotobuňka a led,Photocell and Ice
Rama's Fields.jpg,Rama's Fields.jpg,Rámova pole,Rama's Fields
Samoobsluha.jpg,Samoobsluha.jpg,Samoobsluha,Samoobsluha
Sandpit.jpg,Sandpit.jpg,Pískoviště,Sandpit
Where It Topples.jpg,Where It Topples.jpg,Kam se to svalí?,Where It Topples?
Where's Up.jpg,Where's Up.jpg,Kde je nahoře?,Where's Up?
editor1.png,editor1.jpg,Editor levelů,Level Editor
scriptedit.png,scriptedit.jpg,Editor scriptů,Script Editor
Bomba.jpg,Bomba.png,Ilustrace,illustration
Brana1.jpg,Brana1.png,Ilustrace,illustration
